Inconsistancy,FalseAlarm,FalseNegtive
1,1,0
6,2,4
6,5,1
1,0,1
8,5,3
11,9,2
1,1,0
8,8,0
2,2,0
4,4,0
5,5,0
1,1,0
1,1,0
2,2,0
5,3,2
5,3,2
10,6,4
0,0,0
0,0,0
3,2,1
2,2,0
3,2,1
11,6,5
9,3,6
5,4,1
4,3,1
7,5,2
6,6,0
7,4,3
4,4,0
2,2,0
8,8,0
1,1,0
1,0,1
2,1,1
11,8,3
3,3,0
17,11,6
8,7,1
2,2,0
6,3,3
9,3,6
5,4,1
7,5,2
0,0,0
9,8,1
13,12,1
7,5,2
8,4,4
0,0,0
1,1,0
10,10,0
10,5,5
2,2,0
2,1,1
1,1,0
3,2,1
8,6,2
5,4,1
10,7,3
0,0,0
9,8,1
2,2,0
10,7,3
5,5,0
1,1,0
4,2,2
14,9,5
6,2,4
8,8,0
2,2,0
1,1,0
5,1,4
11,9,2
5,5,0
13,9,4
15,8,7
7,6,1
17,9,8
3,2,1
2,2,0
7,3,4
2,2,0
0,0,0
5,4,1
7,4,3
13,12,1
11,11,0
1,1,0
6,5,1
